question,solution,grade,math_topic,standard,substandard
A bakery has $4.50 to spend on ingredients for their cookie sale. Each batch of cookie dough costs $0.90 to make. How many batches of cookie dough can the bakery make with the money they have?,"To find out how many batches of cookie dough the bakery can make, we need to divide the total amount of money they have ($4.50) by the cost of each batch of cookie dough ($0.90).
$4.50 ÷ $0.90 = 5
The final answer is 5.",5,1. Single-step division with decimals,"5.CE.3 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition, subtraction, multiplication, and division with decimal numbers.","5.CE.3:
e) Solve single-step contextual problems involving division with decimals by applying strategies (e.g., estimation, modeling) and algorithms, including the standard algorithm."
A bakery is having a promotion where every 8th customer receives a free pastry and every 12th customer receives a free drink. Which customer will be the first one to win both the free pastry and the free drink?,"To find the first customer who will receive both the free pastry and the free drink, we need to find the least common multiple between the winners of the free pastry (every 8th customer) and the winners of the free drink (every 12th customer). 
To find the least common multiple, we can list the multiples of 8 and 12 and find the smallest number that appears in both lists.
The multiples of 8 are: 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160, 168, 176, 184, 192, 200, 208, 216, 224, 232, 240.
The multiples of 12 are: 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 132, 144, 156, 168, 180, 192, 204, 216, 228, 240.
We can see that the least common multiple of 8 and 12 is 24.
This means the 24th customer will be the first to receive both prizes.
The final answer is 24.",5,1. Determine the least common multiple of two numbers; may be used in the context of finding the least common denominator for two fractions,"5.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction of fractions with like and unlike denominators (with and without models), and solve single-step contextual problems involving multiplication of a whole number and a proper fraction, with models.","5.CE.2:
a) Determine the least common multiple of two numbers to find the least common denominator for two fractions."
"A bakery is having a sale on cookies. A pack of chocolate chip cookies costs $4.20 and a pack of oatmeal cookies costs $3.50. If Sara wants to buy 2 packs of chocolate chip cookies and 3 packs of oatmeal cookies, how much will she spend in total?","To find the total amount Sara will spend, we first need to calculate the cost of the chocolate chip cookies and the oatmeal cookies separately. 
The cost of 2 packs of chocolate chip cookies is 2 x $4.20 = $8.40.
The cost of 3 packs of oatmeal cookies is 3 x $3.50 = $10.50.
To find the total amount Sara will spend, we need to add these amounts together.
$8.40 + $10.50 = $18.90
The final answer is 18.90",5,"1. Single-step and multistep addition, subtraction, and/or multiplication of decimals","5.CE.3 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition, subtraction, multiplication, and division with decimal numbers.","5.CE.3:
d) Solve single-step and multistep contextual problems involving addition, subtraction, and multiplication of decimals by applying strategies (e.g., estimation, modeling) and algorithms, including the standard algorithm."
A bakery is having a sale where every 8th customer receives a free cake and every 12th customer receives a free pastry. Which customer will be the first one to win both a free cake and a free pastry?,"To find the first customer who will receive both a free cake and a free pastry, we need to find the least common multiple between the winners of the free cake (every 8th customer) and the winners of the free pastry (every 12th customer). 
To find the least common multiple, we can list the multiples of 8 and 12 and find the smallest number that appears in both lists.
The multiples of 8 are: 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160, 168, 176, 184, 192, 200, 208, 216, 224, 232, 240.
The multiples of 12 are: 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 132, 144, 156, 168, 180, 192, 204, 216, 228, 240.
We can see that the first number that appears in both lists is 24.
This means the 24th customer will be the first to receive both prizes.
The final answer is 24.",5,1. Determine the least common multiple of two numbers; may be used in the context of finding the least common denominator for two fractions,"5.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction of fractions with like and unlike denominators (with and without models), and solve single-step contextual problems involving multiplication of a whole number and a proper fraction, with models.","5.CE.2:
a) Determine the least common multiple of two numbers to find the least common denominator for two fractions."
A bakery is making a large cake that is 12 inches wide and 8 inches long. What is the area of the cake?,"To find the area of the cake, we need to multiply the width by the length. 
The width of the cake is 12 inches and the length is 8 inches. 
So, we multiply 12 x 8 = 96.
The final answer is 96.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor
2. Area and/or perimeter of rectangles or squares","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 x 12 and the corresponding division facts.
4.MG.3 The student will use multiple representations to develop and use formulas to solve problems, including those in context, involving area and perimeter limited to rectangles and squares (in both U.S. Customary and metric units).","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers.
4.MG.3:
f) Solve contextual problems involving area and perimeter of rectangles and squares."
A bakery is making a large cookie that will be cut into a rectangular shape with a width of 8 inches and a length of 6 inches. What is the area of the cookie?,"To find the area of the cookie, we need to multiply the width of the cookie by the length of the cookie. 
The width of the cookie is 8 inches and the length is 6 inches. 
So, we multiply 8 (width) by 6 (length). 
8 x 6 = 48
The final answer is 48.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor
2. Area and/or perimeter of rectangles or squares","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 x 12 and the corresponding division facts.
4.MG.3 The student will use multiple representations to develop and use formulas to solve problems, including those in context, involving area and perimeter limited to rectangles and squares (in both U.S. Customary and metric units).","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers.
4.MG.3:
f) Solve contextual problems involving area and perimeter of rectangles and squares."
"A bakery is making a special batch of bread for a holiday sale. They made 12 loaves on Monday, 15 loaves on Tuesday, 18 loaves on Wednesday, and 21 loaves on Thursday. If this pattern continues, how many loaves will the bakery make on Friday?","To find out how many loaves the bakery will make on Friday, we need to look at the pattern of the number of loaves they made each day. 
The bakery made 12 loaves on Monday, 15 loaves on Tuesday, 18 loaves on Wednesday, and 21 loaves on Thursday. 
Let's look at the differences between each day: 
15 - 12 = 3 
18 - 15 = 3 
21 - 18 = 3 
We can see that each day the bakery made 3 more loaves than the previous day. 
Since the pattern continues, the bakery will make 3 more loaves on Friday than on Thursday. 
The bakery made 21 loaves on Thursday, so they will make 21 + 3 = 24 loaves on Friday. 
The final answer is 24.",5,"1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)","5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)."
"A bakery sells a total of 180 bread loaves per day. They sell a combination of whole wheat bread loaves and whole rye bread loaves. If they sell wheat bread loaves every 5 days and rye bread loaves every 9 days, how many days will it take for them to sell both types of bread loaves on the same day again?","To solve this problem, we need to find the smallest number that 5 and 9 can both divide into evenly, which will give us the least common multiple (LCM) of 5 and 9.
First, we list the multiples of 5: 5, 10, 15, 20, 25, 30, 35, 40, 45.
Next, we list the multiples of 9: 9, 18, 27, 36, 45.
Now, we compare the two lists to find the smallest number that appears in both lists, which is 45.
To check if 45 is indeed the smallest number, we can find the LCM of 5 and 9 using the LCM formula.
The greatest common factor (GCF) of 5 and 9 is 1.
The LCM of 5 and 9 is (5 X 9) / 1 = 45.
Since 45 is indeed the LCM of 5 and 9, it will take 45 days for the bakery to sell both types of bread loaves on the same day again.
The final answer is 45.",5,1. Determine the least common multiple of two numbers; may be used in the context of finding the least common denominator for two fractions,"5.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction of fractions with like and unlike denominators (with and without models), and solve single-step contextual problems involving multiplication of a whole number and a proper fraction, with models.","5.CE.2:
a) Determine the least common multiple of two numbers to find the least common denominator for two fractions."
A bakery sells a total of 480 cakes per day. They sell a cake every 8 minutes and a pastry every 12 minutes. How many minutes will pass before they sell both a cake and a pastry at the same time again?,"To find out when the bakery will sell both a cake and a pastry at the same time again, we need to find the smallest number that 8 and 12 can both divide into evenly.
First, we need to list the multiples of each number.
The multiples of 8 are: 8, 16, 24, 32, 40, 48, 56, 64, 72, 80, 88, 96, 104, 112, 120, 128, 136, 144, 152, 160, 168, 176, 184, 192, 200, 208, 216, 224, 232, 240.
The multiples of 12 are: 12, 24, 36, 48, 60, 72, 84, 96, 108, 120, 132, 144, 156, 168, 180, 192, 204, 216, 228, 240.
Now, we need to find the smallest number that appears in both lists.
The smallest number that appears in both lists is 24.
To make sure this is the smallest number, we should check if there is a smaller number.
After re-checking, we can see that 24 is indeed the smallest number.
Therefore, 24 minutes must pass before they sell both a cake and a pastry at the same time again.
The final answer is 24.",5,1. Determine the least common multiple of two numbers; may be used in the context of finding the least common denominator for two fractions,"5.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction of fractions with like and unlike denominators (with and without models), and solve single-step contextual problems involving multiplication of a whole number and a proper fraction, with models.","5.CE.2:
a) Determine the least common multiple of two numbers to find the least common denominator for two fractions."
A ballet company has 1 3/4 yards of pink ribbon and 2 1/6 yards of blue ribbon to decorate the stage for a dance performance. How many yards of ribbon will they have in total to decorate the stage?,"To find the total amount of ribbon the ballet company has, we first need to find a common denominator for the fractions 3/4 and 1/6. 
The least common multiple of 4 and 6 is 12. 
We then need to convert both fractions to have a denominator of 12.
For 3/4, we multiply the numerator (3) and denominator (4) by 3.
3 x 3 = 9
4 x 3 = 12
So 3/4 is equal to 9/12.
For 1/6, we multiply the numerator (1) and denominator (6) by 2.
1 x 2 = 2
6 x 2 = 12
So 1/6 is equal to 2/12.
Now we can add the whole numbers and fractions together.
1 + 2 = 3
9/12 + 2/12 = 11/12
So the total amount of ribbon is 3 11/12 yards.
The final answer is 3 11/12.",5,"1. Single-step and multistep addition and/or subtraction with fractions (proper or improper) and/or mixed numbers with like or unlike denominators limited to 2, 3, 4, 5, 6, 8, 10, and 12","5.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction of fractions with like and unlike denominators (with and without models), and solve single-step contextual problems involving multiplication of a whole number and a proper fraction, with models.","5.CE.2:
c) Estimate and solve single-step and multistep contextual problems involving addition and subtraction with fractions (proper or improper) and/or mixed numbers having like and unlike denominators, with and without models. Denominators should be limited to 2, 3, 4, 5, 6, 8, 10, and 12. Answers should be expressed in simplest form."
A ballet company has 14 rows of seats with 25 seats in each row for their annual dance performance. How many seats are there in total for the audience to watch the ballet dancers perform?,"To find the total number of seats, we need to multiply the number of rows (14) by the number of seats in each row (25).
14 x 25 = 350
This means there are 350 seats in total for the audience to watch the ballet dancers perform.
The final answer is 350.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
"A ballet company has 250 dancers signed up for the annual performance. If 175 of them are going to perform the main dance, how many dancers will not be performing the main dance?","To find out how many dancers will not be performing the main dance, we need to subtract the number of dancers performing the main dance from the total number of dancers.
The total number of dancers is 250 and the number of dancers performing the main dance is 175.
250 - 175 = 75
This means that 75 dancers will not be performing the main dance.
The final answer is 75.",4,"1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000","4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000."
"A ballet company is preparing for a dance performance and needs to package ballet shoes into boxes for the dancers. Each box can hold 14 pairs of shoes, and they have 25 boxes to fill. How many pairs of ballet shoes can they package in total for the performance?","To find the total number of pairs of ballet shoes the company can package, we need to multiply the number of boxes they have (25) by the number of pairs each box can hold (14).
25 x 14 = 350
This means the ballet company can package 350 pairs of ballet shoes in total for the performance.
The final answer is 350.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
"A ballet company is preparing for a performance and needs to package dance shoes for the dancers. If each dancer needs 2 pairs of shoes and there are 9 dancers in total, how many pairs of shoes will they need to package if they already have 12 pairs packaged?","To find the total number of pairs of shoes the ballet company needs, we first need to calculate the total number of pairs needed for the dancers.
Each dancer needs 2 pairs of shoes and there are 9 dancers.
To find the total number of pairs needed, we need to multiply the number of dancers (9) by the number of pairs each dancer needs (2).
9 x 2 = 18
So, the ballet company needs 18 pairs of shoes in total.
Since they already have 12 pairs packaged, to find out how many more pairs they need to package, we need to subtract the number of pairs they already have (12) from the total number of pairs they need (18).
18 - 12 = 6
The final answer is 6.",3,"1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000
2. Single-step multiplication and/or division without remainders of whole numbers through 10 x 10","3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.
3.CE.2 The student will recall with automaticity multiplication and division facts through 10 × 10; and represent, solve, and justify solutions to single-step contextual problems using multiplication and division with whole numbers.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.
3.CE.2:
e) Represent, solve, and justify solutions to single-step contextual problems that involve multiplication and division of whole numbers through 10 × 10."
A ballet dancer has 1/4 of a bottle of water before a show and 1/6 of a bottle of water after the show. How much water did the dancer drink during the show?,"To find out how much water the dancer drank, we need to subtract the amount of water the dancer had after the show (1/6) from the amount of water the dancer had before the show (1/4).
First, we need to find a common denominator. The least common multiple (LCM) of 4 and 6 is 12.
So, we need to convert both fractions to have a denominator of 12.
1/4 = 3/12
1/6 = 2/12
Now, we can subtract.
3/12 - 2/12 = 1/12
The dancer drank 1/12 of a bottle of water.
The final answer is 1/12.",5,"1. Single-step and multistep addition and/or subtraction with fractions (proper or improper) and/or mixed numbers with like or unlike denominators limited to 2, 3, 4, 5, 6, 8, 10, and 12","5.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction of fractions with like and unlike denominators (with and without models), and solve single-step contextual problems involving multiplication of a whole number and a proper fraction, with models.","5.CE.2:
c) Estimate and solve single-step and multistep contextual problems involving addition and subtraction with fractions (proper or improper) and/or mixed numbers having like and unlike denominators, with and without models. Denominators should be limited to 2, 3, 4, 5, 6, 8, 10, and 12. Answers should be expressed in simplest form."
"A ballet dancer needs 250 milliliters of water to stay hydrated during a performance, but the water bottles in the dressing room are labeled in liters. If the dancer wants to know how many liters of water she needs, how many liters should she take?","To find out how many liters of water the dancer needs, we need to determine the equivalent measurement of 250 milliliters in liters.
We know that 1 liter is equal to 1,000 milliliters.
To find the number of liters, we need to divide the number of milliliters (250) by the number of milliliters per liter (1,000).
250 / 1,000 = 0.25
This means the dancer needs 0.25 liters of water.
The final answer is 0.25.",5,"1. Determine equivalent measures within the metric system for length, mass, and/or liquid volume","5.MG.1 The student will reason mathematically to solve problems, including those in context, that involve length, mass, and liquid volume using metric units.","5.MG.1:
c) Given the equivalent metric measure of one unit, in a contextual problem, determine the equivalent measurement within the metric system:
    i) length (millimeters, centimeters, meters, and kilometers);
    ii) mass (grams and kilograms); and
    iii) liquid volume (milliliters and liters)."
A ballet studio has a rectangular dance floor with a length of 12 meters and a width of 8 meters. What is the perimeter of the dance floor?,"To find the perimeter of the dance floor, we need to add up the lengths of all its sides. A rectangle has two lengths and two widths. 
The formula for the perimeter of a rectangle is P = 2l + 2w, where P is the perimeter, l is the length, and w is the width.
Given the length (l) is 12 meters and the width (w) is 8 meters, we can plug these values into the formula.
P = 2(12) + 2(8)
First, we multiply 2 by 12 and 2 by 8.
2(12) = 24
2(8) = 16
Then, we add these two results together.
24 + 16 = 40
The final answer is 40.",3,1. Perimeter of polygons with 6 or fewer sides,"3.MG.2 The student will use multiple representations to estimate and solve problems, including those in context, involving area and perimeter (in both U.S. Customary and metric units).","3.MG.2:
b) Solve problems, including those in context, involving perimeter:
    i) describe and give examples of perimeter as a measurement in contextual situations;
    ii) estimate and measure the distance around a polygon (with no more than six sides) to determine the perimeter and justify the measurement; and
    iii) given the lengths of all sides of a polygon (with no more than six sides), determine its perimeter and justify the measurement."
