question,solution,math_topic,grade,standard,substandard
"9 boys went to water trees. There were 29 trees. If each of them watered an equal amount of trees, how many trees did each boy water?","To find out how many trees each boy watered, we need to divide the total number of trees (29) by the number of boys (9).
29 / 9 = 3 with a remainder of 2.
This means each boy watered 3 trees, and there were 2 trees left over.
The final answer is 3 trees each, with 2 trees left over.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"A box can hold 18 pieces of chalk. If there are 3,484 pieces of chalk, how many boxes are full to hold all the chalk?","To find out how many boxes are needed to hold all the chalk, we need to divide the total number of pieces of chalk by the number of pieces each box can hold.
The total number of pieces of chalk is 3,484 and each box can hold 18 pieces.
3,484 / 18 = 193 with a remainder of 10
Since we cannot have a fraction of a box, this means we will need 194 boxes to hold all the chalk because 193 boxes can only hold 3,474 pieces of chalk (193 x 18 = 3,474) and we have 10 more pieces of chalk left to store.
The final answer is 194.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
Ed had 22 more marbles than Doug. Doug lost 8 of his marbles at the playground. How many more marble did Ed have than Doug then?,"Ed had 22 more marbles than Doug, so to find out how many marbles Doug had, we can say Doug had x marbles and Ed had x + 22 marbles.
Doug lost 8 of his marbles at the playground, so now Doug has x - 8 marbles.
To find out how many more marbles Ed had than Doug, we need to subtract the number of marbles Doug had after losing 8 from the number of marbles Ed had.
This is (x + 22) - (x - 8).
When we simplify, x + 22 - x + 8 = 22 + 8 = 30.
The final answer is 30.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits",5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits."
"There is a snail problem in Centerville. People work together to get rid 3,482 snails, but 8,278 of them remain. About how many snails were originally in Centerville?","To find about how many snails were originally in Centerville, we need to add the number of snails that were removed to the number of snails that remain.

We know 3,482 snails were removed and 8,278 snails remain. Let's add those numbers together:

3,482 + 8,278 = 11,760

About 11,760 snails were originally in Centerville.

The final answer is about 11,760.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000",4,"4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000."
Hanson left for work at six o'clock in the morning. He got stuck in traffic and didn't arrive until twenty past seven in the morning. How many hours did it take Hanson to get to work?,"Hanson left for work at 6:00 in the morning and arrived at 7:20 in the morning.

First, let's figure out how long it took from 6:00 to 7:00. That's one full hour!

Then, Hanson traveled for an extra 20 minutes after 7:00.

So, the total travel time is 1 hour and 20 minutes.

The final answer is 1 hour and 20 minutes.



","1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend
2. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000",4,"4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.
4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 x 12 and the corresponding division facts.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000.
4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"Vanessa had saved up eight hundred fifty-five quarters and decided to spend them on sodas. If it costs seven quarters for each soda from a soda machine, how many more quarters would she need to buy the final soda?","To find out how many more quarters Vanessa needs to buy the final soda, we need to divide the total number of quarters she has (855) by the number of quarters needed for each soda (7).

855 / 7 = 122 with a remainder of 1

This means Vanessa can buy 122 sodas and will have 1 quarter left over. Since she needs 7 quarters for a soda and she has 1, she needs 6 more quarters to buy another soda.

The final answer is 6.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
A worm has fallen into a hole that is 26 inches deep. It climbs up 8 inches and slides back 3 inches every day. How many days will it take the worm to reach the top?,"To find out how many days it will take the worm to reach the top, let's track its progress each day.

Each day, the worm climbs 8 inches and slides back 3 inches, so it makes a net progress of 8 - 3 = 5 inches.

*   **Day 1:** The worm climbs to 5 inches (8 - 3 = 5).
*   **Day 2:** The worm climbs to 10 inches (5 + 5 = 10).
*   **Day 3:** The worm climbs to 15 inches (10 + 5 = 15).
*   **Day 4:** The worm climbs to 20 inches (15 + 5 = 20).
*   **Day 5:** The worm climbs 8 inches, reaching 28 inches (20 + 8 = 28). Since the hole is only 26 inches deep, the worm reaches the top on Day 5!

The final answer is 5.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"They had 119 boxes wrapped in colorful shiny wrappers. If they are to distribute the boxes equally to the 9 houses in the first block, how may boxes will each house receive?","To find out how many boxes each house will receive, we need to divide the total number of boxes by the number of houses.
The total number of boxes is 119 and the number of houses is 9.
119 / 9 = 13 with a remainder of 2.
This means each house can receive 13 boxes, and there will be 2 boxes left over.
The final answer is 13 boxes per house with 2 boxes left over.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
Adam has $5.00 to buy an airplane that costs $4.28. How much change will he get?,"To find out how much change Adam will get, we need to subtract the cost of the airplane ($4.28) from the amount of money he has ($5.00).

We can write this as: $5.00 - $4.28 =?

Let's line up the decimals to help us subtract:

  $5.00
- $4.28
-------

Starting with the hundredths place: 0 - 8. We need to borrow 1 from the tenths place. The 0 becomes 10, and the 2 becomes 1. 

  $4.10
- $4.28
-------

Now we can subtract: 10 - 8 = 2.

  $4.10
- $4.28
-------
     2

Next, subtract the tenths place: 1 - 1 = 0.

  $4.10
- $4.28
-------
   .02

Finally, subtract the whole numbers: 4 - 4 = 0.

  $4.10
- $4.28
-------
  $0.72

Therefore, Adam will get $0.72 in change.

The final answer is $0.72.",1. Single-step and multistep addition and/or subtraction with decimals through the thousandths,4,"4.CE.4 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction of decimals through the thousandths, with and without models.","4.CE.4:
b) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition and subtraction of decimals through the thousandths."
"Ron and Chanarong had breakfast at a cafe. Muffins cost $2 each, and fruit cups cost $2 each. Ron had 1 muffin and 2 fruit cups. Chanarong had 1 muffin and 2 fruit cups. How much did their breakfast cost?","To find the total cost of Ron and Chanarong's breakfast, we first need to calculate the cost of one breakfast.
Each person had 1 muffin and 2 fruit cups.
The cost of 1 muffin is 1 x $2 = $2.
The cost of 2 fruit cups is 2 x $2 = $4.
So the total cost of one breakfast is $2 + $4 = $6.

Since Ron and Chanarong both had the same breakfast, we can find the total cost by multiplying the cost of one breakfast by 2.
$6 x 2 = $12.

The final answer is $12.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000
2. Single-step multiplication and/or division without remainders of whole numbers through 10 x 10",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.
3.CE.2 The student will recall with automaticity multiplication and division facts through 10 × 10; and represent, solve, and justify solutions to single-step contextual problems using multiplication and division with whole numbers.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.
3.CE.2:
e) Represent, solve, and justify solutions to single-step contextual problems that involve multiplication and division of whole numbers through 10 × 10."
Paul and Vinnie deliver newspapers. Paul made $14 in tips. Vinnie made $16 more than Paul. How much did Vinnie make?,"To find how much Vinnie made, we need to add $16 to the amount Paul made ($14).
$14 + $16 = $30
Vinnie made $30.
The final answer is $30.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
Annette and Caitlin weigh 95 pounds together. Caitlin and Sara weigh 87 pounds together. How much more does Annette weigh than Sara?,"To find how much more Annette weighs than Sara, let's think about what we know.

We know Annette and Caitlin weigh 95 pounds together. We also know Caitlin and Sara weigh 87 pounds together. 

Notice that Caitlin is weighed with *both* Annette and Sara! To find the difference between Annette and Sara's weight, we can subtract the weight of Caitlin and Sara (87 pounds) from the weight of Annette and Caitlin (95 pounds).

95 - 87 = 8

This tells us Annette weighs 8 pounds more than Sara.

The final answer is 8.



","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"Four girls were home all day one weekend preparing homemade treats. Anna made 33 blueberry cookies. If she shares this equally among her four friends, how many will each receive?","To find out how many cookies each friend will receive, we need to divide the total number of cookies (33) by the number of friends (4).
33 / 4 = 8 with a remainder of 1.
This means each friend will receive 8 cookies, and there will be 1 cookie left over.
The final answer is 8 cookies each, with 1 cookie left over.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
Mrs. Hilt has 40 markers. They are divided equally into 7 packages. Mrs. Hilt wants to know how many markers are in each package?,"To find out how many markers are in each package, we need to divide the total number of markers by the number of packages.
The total number of markers is 40 and the number of packages is 7.
40 / 7 = 5 with a remainder of 5.

This means each package will have 5 markers, and there will be 5 markers left over. 

The final answer is 5.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
Tommy has $79. He wants to buy a $35 camera. He also wants to buy a $59 CD player. How much more money does Tommy need?,"To find out how much more money Tommy needs, we need to first find the total cost of the camera and CD player.
$35 + $59 = $94
Now, we subtract the amount of money Tommy has ($79) from the total cost ($94).
$94 - $79 = $15
Tommy needs $15 more.
The final answer is $15.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
Sara bought decorations for her party. She paid $5 for balloons and $18 for tablecloths. She also spent $9 for streamers. She paid the cashier and got $8 back. How much money did Sara give to the cashier?,"To find out how much money Sara gave to the cashier, we first need to calculate the total amount she spent on decorations.
She paid $5 for balloons, $18 for tablecloths, and $9 for streamers.
To find the total amount she spent, we add the costs of all the items together.
$5 + $18 + $9 = $32
This means Sara spent $32 on decorations in total.
Sara received $8 back in change. This means she gave the cashier enough money to cover the $32 she spent *plus* the $8 in change.
To find the total amount Sara gave the cashier, we add the amount she spent and the change she received.
$32 + $8 = $40
The final answer is $40.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000",4,"4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000."
It takes 3 eggs to make a cake. How many cakes can you make with 37 eggs?,"To find out how many cakes we can make, we need to divide the total number of eggs (37) by the number of eggs needed for each cake (3).

37 / 3 = 12 with a remainder of 1.

This means we can make 12 whole cakes. We will have 1 egg left over.

The final answer is 12 cakes.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
