,prompt,question
23,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Jake has 6 chocolate bars. He eats 1 and then buys 3 more at the store. How many chocolate bars does Jake have in total?",Jake has 6 chocolate bars. He eats 1 and then buys 3 more at the store. How many chocolate bars does Jake have in total?
24,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Jenny has 7 books in her backpack. She takes 4 books out to read and then puts 1 book back. How many books are left in Jenny's backpack?",Jenny has 7 books in her backpack. She takes 4 books out to read and then puts 1 book back. How many books are left in Jenny's backpack?
25,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Liam has 9 markers. He uses 2 markers for his project and then buys 3 more from the school store. How many markers does Liam have now?",Liam has 9 markers. He uses 2 markers for his project and then buys 3 more from the school store. How many markers does Liam have now?
26,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Sarah has 16 stickers. She gives 7 stickers to her classmates and then receives 3 stickers as a gift. How many stickers does Sarah have now?",Sarah has 16 stickers. She gives 7 stickers to her classmates and then receives 3 stickers as a gift. How many stickers does Sarah have now?
27,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Henry has 7 cookies. He shares 3 cookies with his friend and then gets 2 more from the teacher. How many cookies does Henry have now?",Henry has 7 cookies. He shares 3 cookies with his friend and then gets 2 more from the teacher. How many cookies does Henry have now?
28,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Ava has 7 books on her desk. She adds 4 more books and then gives 2 books to her friend. How many books does Ava have now?",Ava has 7 books on her desk. She adds 4 more books and then gives 2 books to her friend. How many books does Ava have now?
29,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Emma has 8 stickers. She gives 2 stickers to her friend and then receives 4 more from the teacher. How many stickers does Emma have now?",Emma has 8 stickers. She gives 2 stickers to her friend and then receives 4 more from the teacher. How many stickers does Emma have now?
30,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Ethan has 8 erasers. He loses 2 erasers during recess but finds 3 more in his desk. How many erasers does Ethan have now?",Ethan has 8 erasers. He loses 2 erasers during recess but finds 3 more in his desk. How many erasers does Ethan have now?
31,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are 7 gray cats. There are 2 fewer white cats than gray cats. How many cats are there?",There are 7 gray cats. There are 2 fewer white cats than gray cats. How many cats are there?
32,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#If Ava initially had 15 stickers and then decides to trade 6 of them for some markers, and then later finds 3 more stickers under her desk, how many stickers does Ava have now?","If Ava initially had 15 stickers and then decides to trade 6 of them for some markers, and then later finds 3 more stickers under her desk, how many stickers does Ava have now?"
33,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Billy has 7 colored balls. He loses 3 balls and then finds 1 more in the playground. How many colored balls does Billy have now?",Billy has 7 colored balls. He loses 3 balls and then finds 1 more in the playground. How many colored balls does Billy have now?
34,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Alex has 6 marbles. He loses 1 marble on the way to school but finds 2 more on the playground. How many marbles does Alex have now?",Alex has 6 marbles. He loses 1 marble on the way to school but finds 2 more on the playground. How many marbles does Alex have now?
35,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#In the schoolyard, there are 6 birds on the fence. 2 birds fly away, and then 4 more birds join them. How many birds are on the fence now?","In the schoolyard, there are 6 birds on the fence. 2 birds fly away, and then 4 more birds join them. How many birds are on the fence now?"
36,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Sarah has 10 stickers. She gives 3 stickers to her friend and then receives 1 more from the teacher. How many stickers does Sarah have now?",Sarah has 10 stickers. She gives 3 stickers to her friend and then receives 1 more from the teacher. How many stickers does Sarah have now?
37,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#In the classroom, there are 10 desks. 2 more desks are added for a special activity. Later, 4 desks are removed. How many desks are in the classroom now?","In the classroom, there are 10 desks. 2 more desks are added for a special activity. Later, 4 desks are removed. How many desks are in the classroom now?"
38,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are 10 cupcakes for the class party. 4 cupcakes are eaten, and 1 more is brought in by another student. How many cupcakes are there for the party now?","There are 10 cupcakes for the class party. 4 cupcakes are eaten, and 1 more is brought in by another student. How many cupcakes are there for the party now?"
39,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Zoe has 12 pieces of candy. She gives 3 to her friend and then buys 5 more. How many pieces of candy does Zoe have now?",Zoe has 12 pieces of candy. She gives 3 to her friend and then buys 5 more. How many pieces of candy does Zoe have now?
40,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#David has 10 toy cars. He adds 5 more toy cars to his collection and then gives 1 toy car to his friend. How many toy cars does David have now?",David has 10 toy cars. He adds 5 more toy cars to his collection and then gives 1 toy car to his friend. How many toy cars does David have now?
41,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Sophia has 8 lollipops. She buys 7 more at the store and then gives 2 to her cousin. How many lollipops does Sophia have now?",Sophia has 8 lollipops. She buys 7 more at the store and then gives 2 to her cousin. How many lollipops does Sophia have now?
42,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Jacob has 17 puzzle pieces. He misplaces 15 puzzle pieces while playing. Then, he finds 9 puzzle pieces hidden under his bed. How many puzzle pieces does Jacob have left?","Jacob has 17 puzzle pieces. He misplaces 15 puzzle pieces while playing. Then, he finds 9 puzzle pieces hidden under his bed. How many puzzle pieces does Jacob have left?"
43,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Jenny has 7 markers. She loses 2 markers and then finds 1 more in her backpack. How many markers does Jenny have now?",Jenny has 7 markers. She loses 2 markers and then finds 1 more in her backpack. How many markers does Jenny have now?
44,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Alex has 12 toy cars. He sells 5 toy cars at a garage sale. Afterwards, he finds 3 more toy cars hidden in his closet. How many toy cars does Alex have in total?","Alex has 12 toy cars. He sells 5 toy cars at a garage sale. Afterwards, he finds 3 more toy cars hidden in his closet. How many toy cars does Alex have in total?"
45,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#The school bus has 14 seats. 3 students get off at the first stop, and 2 more students get on. How many students are on the bus now?","The school bus has 14 seats. 3 students get off at the first stop, and 2 more students get on. How many students are on the bus now?"
46,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Ava has 20 stickers. She decides to give 3 stickers to each of her 4 friends. Afterward, her friends give her 2 stickers each as a thank-you gift. How many stickers does Ava have now?","Ava has 20 stickers. She decides to give 3 stickers to each of her 4 friends. Afterward, her friends give her 2 stickers each as a thank-you gift. How many stickers does Ava have now?"
47,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#In the school library, there are 18 books. 7 books are taken out by students, and then 4 more books are added to the library. How many books are in the library now?","In the school library, there are 18 books. 7 books are taken out by students, and then 4 more books are added to the library. How many books are in the library now?"
48,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Sophia has 8 buttons. She sews 5 buttons onto her shirt and then finds 2 more buttons in the craft box. How many buttons does Sophia have now?",Sophia has 8 buttons. She sews 5 buttons onto her shirt and then finds 2 more buttons in the craft box. How many buttons does Sophia have now?
49,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Noah has 5 donuts. He buys 8 more at the bakery. Later, he gives 4 to his neighbor. How many donuts does Noah have now?","Noah has 5 donuts. He buys 8 more at the bakery. Later, he gives 4 to his neighbor. How many donuts does Noah have now?"
50,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Jenny has 10 markers. She loses 3 markers on the way to school but finds 2 more on her desk. How many markers does Jenny have now?",Jenny has 10 markers. She loses 3 markers on the way to school but finds 2 more on her desk. How many markers does Jenny have now?
51,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Bobby has 10 dinosaur toys. He gives 4 toys to his friend and then gets 3 more from his brother. How many dinosaur toys does Bobby have now?",Bobby has 10 dinosaur toys. He gives 4 toys to his friend and then gets 3 more from his brother. How many dinosaur toys does Bobby have now?
52,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Max has 6 toy cars. He gives 2 toy cars to his friend and receives 4 more toy cars as a gift. How many toy cars does Max have now?",Max has 6 toy cars. He gives 2 toy cars to his friend and receives 4 more toy cars as a gift. How many toy cars does Max have now?
53,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Jack has 15 cricket cards. He trades 8 cards with his friend. Later, he buys 6 more cards from the bookshop. How many cricket cards does Jack have in total?","Jack has 15 cricket cards. He trades 8 cards with his friend. Later, he buys 6 more cards from the bookshop. How many cricket cards does Jack have in total?"
54,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Owen has 9 chocolate truffles. He eats 1 and then receives 6 more as a gift. How many chocolate truffles does Owen have now?",Owen has 9 chocolate truffles. He eats 1 and then receives 6 more as a gift. How many chocolate truffles does Owen have now?
55,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Tommy has 9 marbles. He loses 4 marbles while playing with his friends but then finds 3 more marbles on the playground. How many marbles does Tommy have now?",Tommy has 9 marbles. He loses 4 marbles while playing with his friends but then finds 3 more marbles on the playground. How many marbles does Tommy have now?
56,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#In the classroom, there are 7 students. 2 students go to the library, and 3 more students join the class. How many students are there now?","In the classroom, there are 7 students. 2 students go to the library, and 3 more students join the class. How many students are there now?"
57,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Emily has 14 candies. She eats 6 candies and then receives 3 candies from her friend. How many candies does Emily have now?",Emily has 14 candies. She eats 6 candies and then receives 3 candies from her friend. How many candies does Emily have now?
58,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Emily has 7 lollipops. She gives 2 to her brother and receives 4 more from her friend. How many lollipops does Emily have now?",Emily has 7 lollipops. She gives 2 to her brother and receives 4 more from her friend. How many lollipops does Emily have now?
59,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Mason has 11 puzzle pieces. He uses 6 pieces to complete a puzzle and then finds 3 more pieces on the floor. How many puzzle pieces does Mason have now(Remained)?",Mason has 11 puzzle pieces. He uses 6 pieces to complete a puzzle and then finds 3 more pieces on the floor. How many puzzle pieces does Mason have now(Remained)?
60,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Sara has 8 crayons. She gives 2 crayons to her friend, Lisa. Then she gets 3 more crayons from the teacher. How many crayons does Sara have now?","Sara has 8 crayons. She gives 2 crayons to her friend, Lisa. Then she gets 3 more crayons from the teacher. How many crayons does Sara have now?"
61,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Lily has 11 markers. She gives 5 markers to her friend and then buys 2 more at the school store. How many markers does Lily have now?",Lily has 11 markers. She gives 5 markers to her friend and then buys 2 more at the school store. How many markers does Lily have now?
62,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Anna has 6 teddy bears. She gives 2 teddy bears to her cousin and then gets 4 more as a birthday gift. How many teddy bears does Anna have now?",Anna has 6 teddy bears. She gives 2 teddy bears to her cousin and then gets 4 more as a birthday gift. How many teddy bears does Anna have now?
63,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Bobby has 9 marbles. He gives 2 marbles to his sister and then gets 3 more marbles from his friend. How many marbles does Bobby have now?",Bobby has 9 marbles. He gives 2 marbles to his sister and then gets 3 more marbles from his friend. How many marbles does Bobby have now?
64,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#10 bees are in the garden. 4 more bees fly into the garden. Then 5 bees fly out of the garden. How many bees are in the garden now?",10 bees are in the garden. 4 more bees fly into the garden. Then 5 bees fly out of the garden. How many bees are in the garden now?
65,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Olivia has 15 balloons. She pops 10 balloons accidentally. Then, her brother gives her 7 more balloons from his collection. How many balloons does Olivia have now?","Olivia has 15 balloons. She pops 10 balloons accidentally. Then, her brother gives her 7 more balloons from his collection. How many balloons does Olivia have now?"
