,question,solution,math_topic,grade,standards_alignment,accuracy,solvability,appropriateness,good
10,"A Native American pottery artist is making a large, rectangular planter box to hold her artwork. The box will have a length of 15 inches, a width of 8 inches, and a height of 6 inches. What is the volume of the box in cubic inches?","To find the volume of the box, we need to multiply the length, width, and height of the box.
The formula for volume is V = lwh, where V is the volume, l is the length, w is the width, and h is the height.
We are given that the length (l) is 15 inches, the width (w) is 8 inches, and the height (h) is 6 inches.
We can plug these values into the formula: V = 15 * 8 * 6.
First, we multiply 15 and 8 to get 120.
Then, we multiply 120 by 6 to get 720.
So, the volume of the box is 720 cubic inches.
The final answer is 720.","1. Perimeter, area, and/or volume in standard units of measure",5,1,1,1,1,1
11,A Native American tribe is making a fence around their land for a traditional ceremony. The land is a rectangle with a length of 15 meters and a width of 8 meters. What is the perimeter of the land that needs to be fenced?,"To find the perimeter of the land, we need to add up the lengths of all its sides. 
Since it's a rectangle, it has two sides of 15 meters and two sides of 8 meters. 
The perimeter is the sum of all sides, so we add 15 + 15 + 8 + 8. 
15 + 15 = 30
30 + 8 = 38
38 + 8 = 46
The final answer is 46.","1. Perimeter, area, and/or volume in standard units of measure",5,1,1,1,1,1
12,"A Native American tribe is making dreamcatchers to sell at their annual festival. Each dreamcatcher requires 18 feathers, and they have 432 feathers to use. How many dreamcatchers can they make with the feathers they have, and how many feathers will they have left over after making the dreamcatchers?","To find out how many dreamcatchers the tribe can make, we need to divide the total number of feathers they have by the number of feathers each dreamcatcher requires.
The total number of feathers is 432, and each dreamcatcher requires 18 feathers.
432 / 18 = 24
This means the tribe can make 24 dreamcatchers.
To find out how many feathers they will have left over, we need to multiply the number of dreamcatchers by the number of feathers each dreamcatcher requires, then subtract this product from the total number of feathers.
The number of dreamcatchers is 24 and the number of feathers each dreamcatcher requires is 18.
24 x 18 = 432
However, since 24 x 18 equals 432, the tribe will use all the feathers to make the dreamcatchers, leaving no remainder.
The final answer is 24.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Perimeter, area, and/or volume in standard units of measure",5,1,1,1,1,1
13,"A Native American tribe is making traditional baskets to sell at a festival. They have 48 strips of wood and each basket requires 6 strips. If they also want to put a $2.50 price tag on each basket and they sell all the baskets, how many baskets can they make and how much money will they make in total if they sell all the baskets?","To find the number of baskets the tribe can make, we need to divide the total number of strips of wood (48) by the number of strips each basket requires (6).
48 / 6 = 8
So, the tribe can make 8 baskets.
To find the total amount of money the tribe will make, we need to multiply the number of baskets they can make (8) by the price of each basket ($2.50).
8 x $2.50 = $20.00
The final answer is 8 baskets and $20.00","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders
3. Single-step and multistep addition, subtraction, and/or multiplication of decimals
4. Single-step division with decimals",5,1,1,1,1,1
14,A Native American tribe is making traditional beadwork jewelry to sell at their annual festival. They have 9 spools of beads and each spool needs to be divided into 3/4 to make the correct pattern. How many sets of beads can they make in total?,"To find the total number of sets of beads the tribe can make, we need to multiply the number of spools of beads (9) by the fraction of beads per set (3/4).
9 × 3/4 =?
To multiply a whole number by a fraction, we multiply the whole number by the numerator (3) and divide by the denominator (4).
9 × 3 = 27
27 ÷ 4 = 6.75
Since we are making sets of beads, the number of sets needs to be a whole number. 
The final answer is 6.75, but since the question asks for the total number of sets, we need to convert the decimal to a mixed number or just the whole number part, because you can't have a fraction of a set, so we can make 6 sets with 3/4 of beads left over.
The final answer is 6.",1. Single-step multiplication of a whole number 12 or less with a proper fraction; the denominator of the fraction should be a factor of the whole number,5,0,0,1,1,0
15,A Native American tribe is making traditional pottery for a cultural festival. They need to pack 18 clay pots into boxes that hold 3 pots each. How many boxes can they fill with the pots they have?,"Let's use the information given to us to solve this problem. 
We are given that the tribe has 18 clay pots and each box holds 3 pots.
To find out how many boxes they can fill, we need to divide the total number of pots (18) by the number of pots each box can hold (3).
18 / 3 = 6
The final answer is 6.","1. Solving a problem that requires writing an equation with a single uknown variable using addition, subtraction, multiplication, and/or division",5,1,1,1,1,1
16,A Native American tribe is making traditional pottery for a cultural festival. They need to package 18 clay pots into boxes that hold 3 pots each. How many boxes can they fill with the pots they have?,"Let's use the information given to us to solve this problem. 
We are given that the tribe has 18 clay pots and each box can hold 3 pots.
Let's say the number of boxes they can fill is x.
We can write an equation from the information given: 3x = 18.
To find the value of x, we need to divide both sides of the equation by 3.
x = 18 / 3
x = 6
The final answer is 6.","1. Solving a problem that requires writing an equation with a single uknown variable using addition, subtraction, multiplication, and/or division",5,1,1,1,1,1
17,"A Native American tribe is making traditional pottery for a festival. They have 270 balls of clay to make the pottery. If they want to put the same amount of clay into bags to carry to the festival site, and each bag can hold 9 balls of clay, how many bags can they fill, and how many balls of clay will be left over?","To find out how many bags the tribe can fill, we need to divide the total number of balls of clay they have (270) by the number of balls each bag can hold (9).
270 ÷ 9 = 30
This means they can fill 30 bags. 
To find out how many balls of clay will be left over, we need to find the remainder of the division.
270 ÷ 9 = 30 with a remainder of 0
This means there will be 0 balls of clay left over.
The final answer is 30.",1. Single-step division without remainders for a one-digit divisor and a two- or three-digit dividend,4,1,1,1,1,1
18,"A Native American tribe is making traditional pottery for a festival. They need to put a border of clay around the pots that is 1/4 of the way around the pot. If the pot is 3/4 of the way around with the clay border and 1/6 of the way around without the clay border, what fraction of the pot is left to be completed with the clay border?","To find the fraction of the pot left to be completed, we first need to find the fraction of the pot that is already completed. The fraction of the pot with the clay border is 3/4 and the fraction of the pot without the clay border is 1/6. 
To add these fractions, we need to find the least common denominator (LCD), which is 12. 
We convert both fractions to have a denominator of 12.
3/4 = 9/12
1/6 = 2/12
Now we can add the fractions.
9/12 + 2/12 = 11/12
This means 11/12 of the pot is already completed. 
To find the fraction of the pot that is left to be completed, we need to subtract the fraction already completed (11/12) from the total (which is 1 or 12/12).
12/12 - 11/12 = 1/12
The final answer is 1/12.","1. Single-step addition and/or subtraction with fractions (proper or improper) and/or mixed numbers with like denominators limited to 2, 3, 4, 5, 6, 8, 10, and 12",4,1,1,1,1,1
19,"A Native American tribe is making traditional pottery for a festival. They need to put a special powder on the pottery to make it colorful. The recipe for the powder requires 1/4 cup of a special ingredient for every 3 pottery pieces. If they want to make 12 pottery pieces, how many cups of the special ingredient will they need?","To find the total number of cups of the special ingredient needed, we first need to understand the ratio of pottery pieces to the special ingredient, which is 3 pottery pieces to 1/4 cup. 
Since they want to make 12 pottery pieces, we need to divide the total number of pottery pieces by the number of pottery pieces per 1/4 cup, which is 3. 
12 / 3 = 4. 
This means they need 4 times the amount of the special ingredient for 3 pottery pieces. 
Since 3 pottery pieces require 1/4 cup, 12 pottery pieces will require 4 times 1/4 cup. 
To find 4 times 1/4, we multiply 4 by 1/4. 
4 * 1/4 = 4/4 = 1. 
The final answer is 1.","1. Single-step multiplication of a whole number 12 or less with a unit fraction with denominators 2, 3, 4, 5, 6, 8, 10, and 12",4,0,0,1,0,0
20,"A Native American tribe is preparing for their annual harvest festival, where they will be serving traditional Three Sisters soup to their guests. The recipe requires 2 pounds of dried corn, and the tribe has 36 ounces of dried corn available. If 1 pound is equal to 16 ounces, how many more ounces of dried corn does the tribe need to prepare the soup, and what is the equivalent weight in pounds?","To find out how many more ounces of dried corn the tribe needs, we first need to know the total amount of dried corn required and the amount they already have. 
The recipe requires 2 pounds of dried corn, and the tribe has 36 ounces of dried corn. 
Since 1 pound is equal to 16 ounces, we need to convert the required amount from pounds to ounces. 
2 pounds x 16 ounces/pound = 32 ounces
This means the recipe requires 32 ounces of dried corn. 
To find out how many more ounces the tribe needs, we need to subtract the amount they have (36 ounces) from the required amount (32 ounces). 
However, since the tribe already has more than the required amount, we need to find the difference. 
36 ounces - 32 ounces = 4 ounces
This means the tribe actually has 4 ounces more than they need. 
Since the question asks for the equivalent weight in pounds, we need to convert the amount they have (36 ounces) to pounds. 
36 ounces / 16 ounces/pound = 2.25 pounds
The question asks how many more ounces the tribe needs, but since they have more than they need, the answer will be negative, and then we will find the equivalent weight in pounds of the amount they have.
The final answer is -4.","1. Determine equivalent measures within the U.S. Customary system for length, weight/mass, and/or liquid volume",4,0,0,1,0,0
21,"A Pocahontas garden is 15 meters long and 8 meters wide. If Pocahontas wants to put a fence around the garden, what is the perimeter of the garden, and if a bundle of fence contains 48 meters of fencing, how many bundles will Pocahontas need to put a fence around the garden, considering that Pocahontas already has 12 meters of fencing?","To find the perimeter of the Pocahontas garden, we need to add up the lengths of all its sides. 
The formula for the perimeter of a rectangle, like the garden, is P = 2l + 2w, where P is the perimeter, l is the length, and w is the width. 
We are given the length (l = 15 meters) and the width (w = 8 meters). 
We can plug these values into the formula: P = 2(15) + 2(8)
Simplifying the equation, we get: P = 30 + 16
Next, we add 30 and 16 to find the perimeter: P = 46
Now that we know the perimeter, we need to determine how many bundles of fencing Pocahontas will need. 
Each bundle contains 48 meters of fencing, and Pocahontas already has 12 meters. 
First, we subtract the fencing Pocahontas already has from the perimeter to find out how much more fencing is needed: 46 - 12 = 34
Then, we divide the amount of fencing needed by the amount in each bundle: 34 / 48 = 0.7083, since we cannot have a fraction of a bundle, we round up to the nearest whole number, so Pocahontas will need 1 bundle of fencing.
The final answer is 1.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Perimeter, area, and/or volume in standard units of measure",5,1,1,1,1,1
22,"A Pokémon trainer has $15.60 to spend on Poké Balls. Each Poké Ball costs $2.40. How many Poké Balls can the trainer buy with the money they have, and how much money will they have left over after buying the Poké Balls?","To solve this problem, we first need to determine how many Poké Balls the trainer can buy with $15.60. 
We need to divide the total amount of money the trainer has ($15.60) by the cost of one Poké Ball ($2.40).
$15.60 / $2.40 = 6.5
Since we cannot buy a fraction of a Poké Ball, the trainer can buy 6 Poké Balls.
To find the total cost of 6 Poké Balls, we multiply the number of Poké Balls (6) by the cost of one Poké Ball ($2.40).
6 x $2.40 = $14.40
Now, we subtract the total cost from the initial amount of money to find the remaining amount.
$15.60 - $14.40 = $1.20
The trainer can buy 6 Poké Balls and will have $1.20 left over.
The final answer is 6.",1. Single-step division with decimals,5,1,1,1,1,1
23,A Pokémon trainer has 14 boxes of Poké Balls to store her Pokémon. Each box can hold 25 Poké Balls. How many Poké Balls can the trainer store in total?,"To find the total number of Poké Balls the trainer can store, we need to multiply the number of boxes (14) by the number of Poké Balls each box can hold (25).
14 x 25 = 350
This means the trainer can store a total of 350 Poké Balls.
The final answer is 350.","1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor",4,1,1,1,1,1
24,"A Pokémon trainer has 18 boxes of Poké Balls to store her Pokémon. Each box can hold 12 Poké Balls. What is the total number of Poké Balls the trainer can store, and if she already has 200 Poké Balls, how many more can she store?","To find the total number of Poké Balls the trainer can store, we need to multiply the number of boxes by the number of Poké Balls each box can hold. 
The number of boxes is 18 and the number of Poké Balls each box can hold is 12. 
So, we multiply 18 by 12.
18 x 12 = 216
This means the trainer can store 216 Poké Balls in total. 
To find out how many more she can store, we subtract the number she already has from the total number she can store.
The total number she can store is 216 and the number she already has is 200. 
So, we subtract 200 from 216.
216 - 200 = 16
The final answer is 216; 16.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Perimeter, area, and/or volume in standard units of measure",5,1,1,1,1,1
25,"A Police Officer has 18 boxes of doughnuts to put into cars. If she wants to put an equal number of boxes in each of 3 cars, how many boxes will each car get, and how many doughnuts will be left over after filling the cars, if each box contains 12 doughnuts?","To find out how many boxes each car will get, we need to divide the total number of boxes (18) by the number of cars (3). 
18 / 3 = 6, so each car will get 6 boxes. 
To find the total number of doughnuts, we multiply the number of boxes by the number of doughnuts in each box: 18 x 12 = 216. 
Now, to find out how many doughnuts will be left over after filling the cars, we first find the total number of doughnuts given to the cars, which is the number of boxes per car multiplied by the number of doughnuts per box and then by the number of cars: 6 x 12 x 3 = 216. 
Since we have 216 doughnuts in total and we give away 216 doughnuts, we have 0 doughnuts left over.
The final answer is 6; 0.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Perimeter, area, and/or volume in standard units of measure",5,1,1,1,1,1
26,"A Power Ranger is making packs of energy bars for a hike. She needs to put 1/4 of a box of energy bars into each pack. If she has 8 boxes of energy bars, how many packs can she make?","To find out how many packs the Power Ranger can make, we first need to multiply the number of boxes she has by the fraction of a box that each pack needs.
The Power Ranger has 8 boxes and each pack needs 1/4 of a box.
8 × 1/4 = 8 ÷ 4 = 2
This means that 8 boxes can make 2 packs, since 8 × 1/4 is the same as 8 ÷ 4. 
So, the Power Ranger can make 2 packs with 8 boxes of energy bars and each pack having 1/4 of a box.
However, to get the correct answer we have to do 8 x 4 = 32 and 1/4 x 32 = 8. 
The final answer is 32.","1. Single-step multiplication of a whole number 12 or less with a unit fraction with denominators 2, 3, 4, 5, 6, 8, 10, and 12",4,0,0,1,0,0
27,"A Reptile enclosure is being built in the shape of a rectangle with a length of 15.6 meters and a width of 8.2 meters. If the Reptiles need 2.5 meters of space on each side of the enclosure for a pathway, what is the area of the pathway around the enclosure?","To find the area of the pathway, we first need to find the area of the larger rectangle that includes the pathway. 
The length of the larger rectangle is 15.6 + 2.5 + 2.5 = 20.6 meters.
The width of the larger rectangle is 8.2 + 2.5 + 2.5 = 13.2 meters.
The area of the larger rectangle is 20.6 x 13.2 = 272.72 square meters.
Now, we need to find the area of the enclosure itself.
The area of the enclosure is 15.6 x 8.2 = 127.92 square meters.
To find the area of the pathway, we subtract the area of the enclosure from the area of the larger rectangle.
272.72 - 127.92 = 144.8 square meters.
The final answer is 144.8.","1. Single-step and multistep addition, subtraction, and/or multiplication of decimals
2. Perimeter, area, and/or volume in standard units of measure",5,1,1,1,1,1
28,"A Reptile has 18 boxes of food to pack into crates that hold 3 boxes each. If the Reptile packs the boxes into crates, how many crates will the Reptile have, and how many boxes will be left over?","To find out how many crates the Reptile will have and how many boxes will be left over, we need to divide the total number of boxes (18) by the number of boxes each crate can hold (3).
18 / 3 = 6 with a remainder of 0.
This means the Reptile will have 6 crates and there will be no boxes left over.
The final answer is 6.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders
3. Single-step and multistep addition, subtraction, and/or multiplication of decimals
4. Single-step division with decimals",5,1,1,1,1,1
29,"A Reptile has 48 scales to sell at the market. If he wants to pack them in boxes that hold 6 scales each, how many boxes can he fill, and how many scales will be left over?","To find the number of boxes the Reptile can fill, we need to divide the total number of scales (48) by the number of scales each box can hold (6).
48 / 6 = 8
This means the Reptile can fill 8 boxes.
To find the number of scales left over, we need to find the remainder of the division.
Since 48 / 6 = 8 with no remainder, we can see that 48 is exactly divisible by 6.
So, 48 = 6 x 8
This means that the Reptile can fill 8 boxes with no scales left over.
The final answer is 8 boxes with no scales left over.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Single-step and multistep addition, subtraction, and/or multiplication of decimals",5,1,1,1,1,1
30,"A Space Alien has a certain number of UFOs in its fleet. If the Space Alien adds 15 more UFOs to its fleet, it will have a total of 27 UFOs. How many UFOs does the Space Alien have now?","Let's use the information given to us to solve this problem. 
We are given that if the Space Alien adds 15 UFOs to its fleet, it will have a total of 27 UFOs. 
Let's say the number of UFOs the Space Alien has now is x.
We can write an equation from the information given: x + 15 = 27.
Now, we can solve for x by subtracting 15 from both sides of the equation.
x + 15 - 15 = 27 - 15
x = 12
The final answer is 12.","1. Solving a problem that requires writing an equation with a single uknown variable using addition, subtraction, multiplication, and/or division",5,1,1,1,1,1
31,"A Space Alien is building a landing pad for its UFO in a rectangular shape with a length of 6 meters and a width of 4 meters. What is the area of the landing pad that the Space Alien is building, and how can you justify that this is the correct area for the landing pad?","To find the area of the landing pad, we need to multiply the length by the width.
The length of the landing pad is 6 meters and the width is 4 meters.
Area = length x width
Area = 6 x 4
Area = 24
This means the area of the landing pad is 24 square meters.
We can justify that this is the correct area by counting the number of square units that fit inside the landing pad.
Imagine the landing pad is made up of 24 square tiles, each 1 meter by 1 meter.
We can count the tiles to see that there are 24 tiles that fit exactly inside the landing pad.
So, the area of the landing pad is 24 square meters.
The final answer is 24.",1. Determine area of a surface by counting the number of square units,3,1,1,1,1,1
32,"A Space Alien is sending UFOs to Earth in a pattern. On the first day, 3 UFOs arrive. Each subsequent day, 2 more UFOs arrive than the day before. How many UFOs will arrive on the 5th day?","To find out how many UFOs will arrive on the 5th day, we need to identify the pattern of UFO arrivals. 
On the first day, 3 UFOs arrive. 
On the second day, 2 more UFOs arrive than the day before, so 3 + 2 = 5 UFOs arrive.
On the third day, 2 more UFOs arrive than the day before, so 5 + 2 = 7 UFOs arrive.
On the fourth day, 2 more UFOs arrive than the day before, so 7 + 2 = 9 UFOs arrive.
On the fifth day, 2 more UFOs arrive than the day before, so 9 + 2 = 11 UFOs arrive.
This means 11 UFOs will arrive on the 5th day.
The final answer is 11.","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules limited to addition, subtraction, and multiplication of whole numbers",4,1,1,1,0,0
33,"A Star Wars spaceship has 18 crates of food packets to be distributed among 3 spaceships. How many crates of food packets will each spaceship get, and how many crates will be left over?","To find out how many crates of food packets each spaceship will get, we need to divide the total number of crates (18) by the number of spaceships (3).
18 / 3 = 6
So each spaceship will get 6 crates of food packets.
To find the number of crates left over, we need to find the remainder of the division of 18 by 3.
18 / 3 = 6 with a remainder of 0
So, there will be 0 crates left over.
The final answer is 6.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Single-step and multistep addition, subtraction, and/or multiplication of decimals",5,1,1,1,1,1
