grade,standard,substandard,math_topic,cc_standard,cc_substandard
4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers.","1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor",4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic.,"4.NBT:
5. Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."
4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.",1. Single-step division without remainders for a one-digit divisor and a two- or three-digit dividend,4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic.,"4.NBT:
6. Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."
4,"4.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns (limited to addition, subtraction, and multiplication of whole numbers), including those in context, using various representations.","4.PFA.1:
d) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules.","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules limited to addition, subtraction, and multiplication of whole numbers",4.OA Generate and analyze patterns.,"4.OA:
5. Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself. For example, given the rule ÒAdd 3Ó and the starting number 1, generate terms in the resulting sequence and observe that the terms appear to alternate between odd and even numbers. Explain informally why the numbers will continue to alternate in this way. "
4,"4.CE.4 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction of decimals through the thousandths, with and without models.","4.CE.4:
b) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition and subtraction of decimals through the thousandths.",1. Single-step and multistep addition and/or subtraction with decimals through the thousandths,5.NBT Perform operations with multi-digit whole numbers and with decimals to hundredths. ,"5.NBT:
7. Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used."
5,"5.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns with whole numbers, fractions, and decimals, including those in context, using various representations.","5.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending increasing and decreasing patterns using single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths).","1. Identifying, describing, and/or extending increasing and decreasing patterns with single-operation input and output rules (limited to addition, subtraction, multiplication, and division of whole numbers; addition and subtraction of fractions with like denominators of 12 or less; and addition and subtraction of decimals expressed in tenths or hundredths)",5.OA Analyze patterns and relationships.,"5.OA:
3. Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane. For example, given the rule ÒAdd 3Ó and the starting number 0, and given the rule ÒAdd 6Ó and the starting number 0, generate terms in the resulting sequences, and observe that the terms in one sequence are twice the corresponding terms in the other sequence. Explain informally why this is so. "
5,"5.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction of fractions with like and unlike denominators (with and without models), and solve single-step contextual problems involving multiplication of a whole number and a proper fraction, with models.","5.CE.2:
a) Determine the least common multiple of two numbers to find the least common denominator for two fractions.",1. Determine the least common multiple of two numbers; may be used in the context of finding the least common denominator for two fractions,5.NF Use equivalent fractions as a strategy to add and subtract fractions.,"5.NF:
1. Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators. For example, 2/3 + 5/4 = 8/12 + 15/12 = 23/12. (In general, a/b + c/d = (ad + bc)/bd.) "
5,"5.MG.1 The student will reason mathematically to solve problems, including those in context, that involve length, mass, and liquid volume using metric units.","5.MG.1:
c) Given the equivalent metric measure of one unit, in a contextual problem, determine the equivalent measurement within the metric system:
    i) length (millimeters, centimeters, meters, and kilometers);
    ii) mass (grams and kilograms); and
    iii) liquid volume (milliliters and liters).","1. Determine equivalent measures within the metric system for length, mass, and/or liquid volume",5.MD Convert like measurement units within a given measurement system.,"5.MD:
1. Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems."
5,"5.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction of fractions with like and unlike denominators (with and without models), and solve single-step contextual problems involving multiplication of a whole number and a proper fraction, with models.","5.CE.2:
d) Solve single-step contextual problems involving multiplication of a whole number, limited to 12 or less, and a proper fraction (e.g., 9 × 2/3, 8 × 3/4), with models. The denominator will be a factor of the whole number and answers should be expressed in simplest form.",1. Single-step multiplication of a whole number 12 or less with a proper fraction; the denominator of the fraction should be a factor of the whole number,5.NF Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"5.NF:
4. Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.
    a. Interpret the product (a/b) _ q as a parts of a partition of q into b equal parts; equivalently, as the result of a sequence of operations a _ q Ö b. For example, use a visual fraction model to show (2/3) _ 4 = 8/3, and create a story context for this equation. Do the same with (2/3) _ (4/5) = 8/15. (In general, (a/b) _ (c/d) = ac/bd.)
6. Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem."
5,"5.MG.2 The student will use multiple representations to solve problems, including those in context, involving perimeter, area, and volume.","5.MG.2:
g) Solve contextual problems that involve perimeter, area, and volume in standard units of measure.","1. Perimeter, area, and/or volume in standard units of measure",5.MD Geometric measurement: understand concepts of volume and relate volume to multiplication and to addition.,"5.MD:
5. Relate volume to the operations of multiplication and addition and solve real world and mathematical problems involving volume."
5,"5.CE.3 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition, subtraction, multiplication, and division with decimal numbers.","5.CE.3:
d) Solve single-step and multistep contextual problems involving addition, subtraction, and multiplication of decimals by applying strategies (e.g., estimation, modeling) and algorithms, including the standard algorithm.","1. Single-step and multistep addition, subtraction, and/or multiplication of decimals",5.NBT Perform operations with multi-digit whole numbers and with decimals to hundredths. ,"5.NBT:
7. Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used."
5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
c) Interpret the quotient and remainder when solving a contextual problem.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5.NBT Perform operations with multi-digit whole numbers and with decimals to hundredths. ,"5.NBT:
5. Fluently multiply multi-digit whole numbers using the standard algorithm.
6. Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."
5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.
5.MG.2 The student will use multiple representations to solve problems, including those in context, involving perimeter, area, and volume.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
5.MG.2:
g) Solve contextual problems that involve perimeter, area, and volume in standard units of measure.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Perimeter, area, and/or volume in standard units of measure","5.NBT Perform operations with multi-digit whole numbers and with decimals to hundredths. 
5.MD Geometric measurement: understand concepts of volume and relate volume to multiplication and to addition.","5.NBT:
5. Fluently multiply multi-digit whole numbers using the standard algorithm.
6. Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.
5.MD:
5. Relate volume to the operations of multiplication and addition and solve real world and mathematical problems involving volume."
5,"5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers. 
5.CE.3 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition, subtraction, multiplication, and division with decimal numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
5.CE.3:
d) Solve single-step and multistep contextual problems involving addition, subtraction, and multiplication of decimals by applying strategies (e.g., estimation, modeling) and algorithms, including the standard algorithm.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Single-step and multistep addition, subtraction, and/or multiplication of decimals",5.NBT Perform operations with multi-digit whole numbers and with decimals to hundredths. ,"5.NBT:
5. Fluently multiply multi-digit whole numbers using the standard algorithm.
6. Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.
7. Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used."
